income,type
80000.0,Data
45000.0,Data
83800.0,Data
80000.0,Data
60000.0,Data
110000.0,Data
25800.0,Data
114000.0,Data
95000.0,Data
26000.0,Data
69583.0,Data
80000.0,Data
52000.0,Data
46000.0,Data
52052.0,Data
80000.0,Data
82000.0,Data
34075.0,Data
44160.0,Data
86854.0,Data
80000.0,Data
42000.0,Data
58000.0,Data
52000.0,Data
72000.0,Data
43000.0,Data
55000.0,Data
24000.0,Data
35000.0,Data
65000.0,Data
54600.0,Data
60000.0,Data
45000.0,Data
140000.0,Data
14400.0,Data
96000.0,Data
150000.0,Data
100000.0,Data
22776.0,Data
44000.0,Data
26400.0,Data
90000.0,Data
60000.0,Data
28000.0,Data
54000.0,Data
35000.0,Data
63000.0,Data
96682.0,Data
62758.0,Data
68000.0,Data
120000.0,Data
90000.0,Data
100000.0,Data
78000.0,Data
75000.0,Data
33000.0,Data
73000.0,Data
125000.0,Data
50000.0,Data
137000.0,Data
45000.0,Data
52500.0,Data
93000.0,Data
80000.0,Data
34000.0,Data
90000.0,Data
50000.0,Data
40000.0,Data
45650.0,Data
53000.0,Data
80000.0,Data
30000.0,Data
55000.0,Data
19000.0,Data
115000.0,Data
66000.0,Data
80000.0,Data
110000.0,Data
45000.0,Data
150000.0,Data
91000.0,Data
92000.0,Data
32000.0,Data
137000.0,Data
140000.0,Data
160000.0,Data
74122.0,Data
95000.0,Data
50000.0,Data
95000.0,Data
112000.0,Data
56000.0,Data
72000.0,Data
70008.0,Data
73000.0,Data
68000.0,Data
108160.0,Data
50000.0,Data
65000.0,Data
52000.0,Data
96000.0,Data
21864.0,Data
48000.0,Data
60000.0,Data
52000.0,Data
42000.0,Data
56500.0,Data
110000.0,Data
56000.0,Data
72000.0,Data
53200.0,Data
40000.0,Data
108000.0,Data
52000.0,Data
44000.0,Data
75000.0,Data
102000.0,Data
51600.0,Data
70000.0,Data
100000.0,Data
57000.0,Data
68750.0,Data
50000.0,Data
194000.0,Data
55000.0,Data
115000.0,Data
66500.0,Data
90000.0,Data
66500.0,Data
72000.0,Data
65000.0,Data
41000.0,Data
35363.0,Data
30000.0,Data
80000.0,Data
40000.0,Data
40000.0,Data
109000.0,Data
24168.0,Data
38000.0,Data
65000.0,Data
41000.0,Data
110000.0,Data
16000.0,Data
95000.0,Data
92000.0,Data
100000.0,Data
55000.0,Data
60000.0,Data
57646.0,Data
33600.0,Data
95000.0,Data
120000.0,Data
55000.0,Data
73000.0,Data
45172.0,Data
72000.0,Data
