income,type
89000.0,Data
100000.0,Data
54000.0,Data
54000.0,Data
83500.0,Data
32000.0,Data
36000.0,Data
74000.0,Data
55000.0,Data
47000.0,Data
50000.0,Data
40000.0,Data
58000.0,Data
40000.0,Data
50000.0,Data
49960.0,Data
50000.0,Data
71000.0,Data
120000.0,Data
60000.0,Data
158400.0,Data
68000.0,Data
50000.0,Data
52000.0,Data
78000.0,Data
45000.0,Data
178000.0,Data
45000.0,Data
45995.0,Data
68000.0,Data
60000.0,Data
43000.0,Data
52000.0,Data
100000.0,Data
117000.0,Data
35000.0,Data
44517.0,Data
31000.0,Data
45000.0,Data
28800.0,Data
53000.0,Data
60000.0,Data
37000.0,Data
160000.0,Data
65000.0,Data
55740.0,Data
92000.0,Data
58000.0,Data
25000.0,Data
42000.0,Data
50000.0,Data
85000.0,Data
47000.0,Data
90000.0,Data
74000.0,Data
75000.0,Data
57000.0,Data
173000.0,Data
50000.0,Data
43000.0,Data
62000.0,Data
52000.0,Data
30000.0,Data
81000.0,Data
64000.0,Data
70000.0,Data
72000.0,Data
155000.0,Data
106000.0,Data
55000.0,Data
55000.0,Data
110000.0,Data
80000.0,Data
36100.0,Data
23242.0,Data
85000.0,Data
37204.0,Data
85250.0,Data
50000.0,Data
110000.0,Data
80000.0,Data
67000.0,Data
57000.0,Data
104300.0,Data
74000.0,Data
43000.0,Data
24000.0,Data
70000.0,Data
109320.0,Data
60000.0,Data
48000.0,Data
48000.0,Data
37000.0,Data
100000.0,Data
56000.0,Data
125000.0,Data
34800.0,Data
45000.0,Data
45000.0,Data
80000.0,Data
75000.0,Data
80000.0,Data
50000.0,Data
24000.0,Data
122000.0,Data
70000.0,Data
90000.0,Data
115000.0,Data
190000.0,Data
81150.0,Data
60000.0,Data
33000.0,Data
73000.0,Data
38000.0,Data
74000.0,Data
45000.0,Data
72000.0,Data
55000.0,Data
65000.0,Data
110000.0,Data
40000.0,Data
93054.0,Data
55000.0,Data
45000.0,Data
39000.0,Data
73900.0,Data
42000.0,Data
100000.0,Data
78315.0,Data
55000.0,Data
86500.0,Data
49500.0,Data
51000.0,Data
100000.0,Data
31200.0,Data
55500.0,Data
125000.0,Data
30000.0,Data
154000.0,Data
114800.0,Data
46000.0,Data
81500.0,Data
63000.0,Data
60000.0,Data
49920.0,Data
50000.0,Data
55000.0,Data
55000.0,Data
55000.0,Data
95000.0,Data
68000.0,Data
72000.0,Data
36500.0,Data
65000.0,Data
26316.0,Data
68000.0,Data
40000.0,Data
95000.0,Data
