income,type
56000.0,Data
100000.0,Data
30000.0,Data
150000.0,Data
45000.0,Data
48000.0,Data
110000.0,Data
66000.0,Data
61440.0,Data
75000.0,Data
50000.0,Data
52000.0,Data
39000.0,Data
48000.0,Data
40000.0,Data
62000.0,Data
43000.0,Data
60000.0,Data
42000.0,Data
15000.0,Data
63000.0,Data
80000.0,Data
51000.0,Data
33500.0,Data
74000.0,Data
127127.0,Data
44000.0,Data
91480.0,Data
132000.0,Data
72000.0,Data
49875.0,Data
44000.0,Data
77000.0,Data
24744.0,Data
65000.0,Data
56000.0,Data
32000.0,Data
85000.0,Data
21000.0,Data
105000.0,Data
75000.0,Data
30000.0,Data
75000.0,Data
55000.0,Data
106000.0,Data
40000.0,Data
24000.0,Data
40000.0,Data
31000.0,Data
70000.0,Data
150000.0,Data
94500.0,Data
175000.0,Data
38400.0,Data
52000.0,Data
22092.0,Data
140000.0,Data
75000.0,Data
105000.0,Data
75000.0,Data
40400.0,Data
45000.0,Data
66356.0,Data
41000.0,Data
56000.0,Data
45000.0,Data
70000.0,Data
44000.0,Data
150000.0,Data
55000.0,Data
101000.0,Data
122000.0,Data
62000.0,Data
150000.0,Data
60000.0,Data
84000.0,Data
110000.0,Data
125000.0,Data
45000.0,Data
150000.0,Data
58000.0,Data
60000.0,Data
63000.0,Data
60000.0,Data
67000.0,Data
102000.0,Data
13000.0,Data
19000.0,Data
43929.0,Data
60000.0,Data
38400.0,Data
81000.0,Data
36000.0,Data
73200.0,Data
104000.0,Data
55000.0,Data
40000.0,Data
100000.0,Data
155000.0,Data
45000.0,Data
98400.0,Data
80000.0,Data
62000.0,Data
154000.0,Data
51500.0,Data
20000.0,Data
92000.0,Data
100000.0,Data
51600.0,Data
50000.0,Data
55000.0,Data
82000.0,Data
60000.0,Data
47000.0,Data
105000.0,Data
68000.0,Data
55000.0,Data
48500.0,Data
45000.0,Data
45600.0,Data
89375.0,Data
33000.0,Data
60000.0,Data
30000.0,Data
70000.0,Data
66934.0,Data
34776.0,Data
63970.0,Data
195000.0,Data
56000.0,Data
75000.0,Data
50000.0,Data
42290.0,Data
43200.0,Data
37300.0,Data
60000.0,Data
69583.0,Data
50000.0,Data
